iter	MAE
0	26191359.95
1	25615808.01
2	25063815.17
3	24482450.17
4	23869127.06
5	23424108.32
6	23008559.19
7	22725249.8
8	22433609.52
9	21971697.05
10	21578155
11	21010857.89
12	20631452.37
13	20251494.6
14	20063308.21
15	19584238.31
16	19210090.11
17	19039869.05
18	18822895.79
19	18539481.33
20	18121320.41
21	17744782.55
22	17437108.15
23	17195343.7
24	17040412.21
25	16826544
26	16708420.92
27	16381736.56
28	16113005.71
29	15846025.74
30	15703241.14
31	15489711.92
32	15329362.4
33	15166894.21
34	15094542.2
35	15047640.83
36	14832354.42
37	14659755.4
38	14511069.78
39	14345978.05
40	14323916.75
41	14292003.19
42	14201659.99
43	14163691.61
44	14146278.84
45	14095262.07
46	14085219.35
47	14070606.78
48	14061209.51
49	13939541.73
50	13928814.35
51	13821933.37
52	13798832.58
53	13752641.64
54	13741441.17
55	13622593.05
56	13598056.76
57	13588611.16
58	13520800.56
59	13454465.58
60	13385917.7
61	13381503.41
62	13274224.99
63	13264640.17
64	13174523.54
65	13077948.04
66	13073722.13
67	13057538.08
68	12983420.2
69	12915725.54
70	12839438.65
71	12781225.9
72	12716746.34
73	12652907.71
74	12642541.46
75	12574969.68
76	12565038.9
77	12527595
78	12519850.81
79	12512521.97
80	12473916.53
81	12429964.12
82	12388033.09
83	12371517.79
84	12339242.21
85	12306500.59
86	12296671.37
87	12291002.32
88	12261677.11
89	12240776.52
90	12203612.26
91	12201360.88
92	12182083.44
93	12164542.22
94	12159054.5
95	12124438.37
96	12119501.85
97	12090319.04
98	12068115.54
99	12066583.22
100	12063413.15
101	12044984.67
102	12042373.33
103	12025047.73
104	12023904.06
105	12019234.03
106	12016559.62
107	12015342.17
108	12010524.4
109	12007234.74
110	12001694.98
111	11992677.73
112	11986113.46
113	11985017.62
114	11960743.38
115	11955678.31
116	11936873.38
117	11901137.56
118	11894903.64
119	11886673.77
120	11880677.08
121	11865700.09
122	11861228.02
123	11858313.63
124	11849703.57
125	11848000.07
126	11827750.85
127	11822911.7
128	11803662.35
129	11800769.66
130	11796505.06
131	11787410.85
132	11785324.81
133	11772064.17
134	11766166.3
135	11763062.16
136	11749955.31
137	11708393.46
138	11705252.85
139	11682232.34
140	11680945.37
141	11675600.79
142	11673144.24
143	11671209
144	11645979.76
145	11626919.34
146	11620286.46
147	11604699.56
148	11602038.09
149	11593778.1
150	11590848.66
151	11573125.37
152	11571635.31
153	11561594.04
154	11544638.05
155	11541702.47
156	11540165.64
157	11537028.87
158	11519617.41
159	11515459.14
160	11514472.06
161	11512565.59
162	11502015.44
163	11499688.09
164	11498502.66
165	11497546.65
166	11490079.87
167	11486806.83
168	11484311.71
169	11482576.73
170	11472659.53
171	11469080.08
172	11464156.61
173	11463020.78
174	11435366.16
175	11421833.03
176	11394513.35
177	11379487.5
178	11378200.82
179	11376721.77
180	11375781.07
181	11368609.99
182	11365608.44
183	11364772.15
184	11362781.13
185	11359613.43
186	11355568.74
187	11354891.08
188	11354344.87
189	11351595.93
190	11349412.32
191	11335513.89
192	11334735.79
193	11333659.9
194	11333002.49
195	11330272.48
196	11330008.69
197	11322736.28
198	11308041.33
199	11305671.93
200	11298005.39
201	11297377.35
202	11278474.92
203	11277448.5
204	11274784.1
205	11268310.4
206	11253503.24
207	11251722.88
208	11248861.06
209	11244751.05
210	11241790.94
211	11238922
212	11237308.13
213	11221999.72
214	11219818.2
215	11216951.56
216	11200680.7
217	11198750.06
218	11175928.01
219	11174349.38
220	11169033.51
221	11156738.34
222	11143821.15
223	11142489.86
224	11140678.83
225	11139745.76
226	11125652.99
227	11121343.74
228	11118363.54
229	11117058.3
230	11116496.64
231	11108194.8
232	11105908.45
233	11103798.18
234	11084868.36
235	11074698.38
236	11074402.97
237	11053649.09
238	11047305.97
239	11032465.63
240	11030662.93
241	11030124.83
242	11024993.35
243	11023615.09
244	11019163.39
245	11015926.52
246	11014591.65
247	11006032.17
248	11004857.04
249	11002498.67
250	10992368
251	10992045.43
252	10990116.89
253	10989478.94
254	10987780.44
255	10986700.93
256	10969832.72
257	10943506.34
258	10940382.24
259	10939214.64
260	10938070.56
261	10935349.38
262	10926839.74
263	10926283.93
264	10921693.3
265	10920972.44
266	10911985.66
267	10903625.76
268	10895730.49
269	10895166.88
270	10892941.01
271	10882735.31
272	10880340.49
273	10878470.65
274	10869963.77
275	10866274.4
276	10864796.64
277	10850484.9
278	10849976.62
279	10848684.12
280	10846198.76
281	10834307.51
282	10833485
283	10832173.56
284	10831782.29
285	10828845.87
286	10819757.39
287	10818323.72
288	10812366.72
289	10809128.91
290	10808213.24
291	10801249.14
292	10774455.44
293	10762818.48
294	10754093.88
295	10746563.02
296	10744731.94
297	10744427.48
298	10741197.4
299	10739979.08
300	10736556.02
301	10730200.72
302	10729061.55
303	10728310.51
304	10727319.68
305	10722270.08
306	10718451.51
307	10717961.07
308	10709851.52
309	10709554.13
310	10702085.51
311	10692790.67
312	10691765.26
313	10690690.61
314	10689759.17
315	10675803.86
316	10674725.98
317	10671296.24
318	10668169.79
319	10663646.84
320	10661802.17
321	10660603.74
322	10656656.45
323	10652928.88
324	10652435.67
325	10651509.6
326	10650769.19
327	10650303.03
328	10630238.17
329	10628192.15
330	10628061
331	10626879.6
332	10624536.55
333	10623964.07
334	10620429.06
335	10619743.33
336	10615684.42
337	10612602.44
338	10608955.94
339	10607639.34
340	10606571.38
341	10603137.96
342	10602222.97
343	10590662.03
344	10589908.21
345	10585997.49
346	10580947.59
347	10574446.72
348	10572992.86
349	10571411.09
350	10569948.99
351	10568789.7
352	10568212.79
353	10557296.77
354	10544447.68
355	10540721.04
356	10540247.23
357	10524988.92
358	10524221.25
359	10522644.42
360	10501378.79
361	10500280.66
362	10489682.37
363	10487462.44
364	10485177.74
365	10483837.18
366	10480173.46
367	10477463.01
368	10477251.55
369	10471917.26
370	10469779.77
371	10468036.62
372	10458266.22
373	10456816.58
374	10455384.89
375	10454717.31
376	10445039.03
377	10444175.6
378	10442713.02
379	10436831.29
380	10436197.2
381	10433479.52
382	10431342.43
383	10427479.92
384	10426091.57
385	10423996.77
386	10423369.51
387	10417737.37
388	10413580.95
389	10410838.53
390	10410545.88
391	10408057.11
392	10405461.24
393	10404802.88
394	10404278.45
395	10404183.46
396	10402551.04
397	10402402.04
398	10400094.88
399	10397760.13
400	10384257.41
401	10383162.3
402	10382777.86
403	10374746.79
404	10374510.81
405	10368070.8
406	10365892.19
407	10365633.88
408	10362634.9
409	10362267.56
410	10357696.44
411	10356901.98
412	10344547.04
413	10343055.89
414	10342485.7
415	10337131.96
416	10330969.43
417	10328060.47
418	10326743.37
419	10318268.68
420	10317992.1
421	10317169.51
422	10316670.01
423	10315044.29
424	10314698.63
425	10314281.82
426	10313479.3
427	10312463.4
428	10312000.58
429	10311226.16
430	10310854.88
431	10310301.04
432	10308876.04
433	10307637.55
434	10307336.35
435	10303228.89
436	10297470.63
437	10296163.37
438	10293840.88
439	10293625.76
440	10279947.1
441	10278651.35
442	10278148.44
443	10269378.79
444	10260516
445	10253392.59
446	10252738.04
447	10252031.52
448	10223038.57
449	10220584.65
450	10214984.06
451	10210584.69
452	10209322.13
453	10208025.27
454	10199253.57
455	10196983.39
456	10196561.17
457	10195525.66
458	10186164.86
459	10186013.68
460	10174278.96
461	10173841.18
462	10168281.6
463	10167039.73
464	10166352.68
465	10148011.79
466	10142119.57
467	10139969.97
468	10139602.75
469	10128384.13
470	10121343.86
471	10111234.12
472	10109960.63
473	10102074.41
474	10101606.62
475	10101222.84
476	10099737.45
477	10099482.96
478	10098861.17
479	10096503.17
480	10094801.06
481	10091382.56
482	10091169.05
483	10079950.9
484	10066789.7
485	10058644.88
486	10058378.4
487	10057881.97
488	10050932.18
489	10044727
490	10042691.53
491	10042245.55
492	10039204.63
493	10021803.92
494	10018396.13
495	10017809.28
496	10017400.86
497	10016486.11
498	10008675.23
499	10007394.94
500	10002774.28
501	10001758.41
502	9993986.944
503	9993849.168
504	9991353.485
505	9988366.078
506	9986470.232
507	9975232.891
508	9974143.306
509	9962010.018
510	9956870.627
511	9954283.606
512	9953943.132
513	9949366.512
514	9946671.018
515	9943567.859
516	9942975.297
517	9936691.934
518	9931418.488
519	9931146.55
520	9930991.866
521	9929992.777
522	9908540.121
523	9902773.554
524	9902543.082
525	9901892.124
526	9900086.108
527	9897557.241
528	9897300.47
529	9889298.332
530	9888821.901
531	9885538.275
532	9882082.489
533	9881813.972
534	9875645.447
535	9874342.026
536	9870261.121
537	9855850.915
538	9854451.731
539	9850611.646
540	9848119.576
541	9847126.881
542	9835791.603
543	9835482.629
544	9834750.975
545	9833621.79
546	9828288.559
547	9820970.45
548	9814467.658
549	9813433.423
550	9812425.471
551	9811876.684
552	9811650.88
553	9809241.686
554	9803169.222
555	9802422.52
556	9801003.823
557	9800397.749
558	9784195.684
559	9782542.952
560	9774403.207
561	9771935.549
562	9766553.253
563	9764264.147
564	9763926.515
565	9755966.291
566	9755741.729
567	9754477.858
568	9745531.754
569	9745028.501
570	9743011.819
571	9735018.727
572	9732646.485
573	9728315.598
574	9727755.456
575	9727094.985
576	9726781.321
577	9726243.096
578	9722063.215
579	9720747.685
580	9720240.718
581	9718506.872
582	9707341.635
583	9707010.686
584	9700830.783
585	9692780.791
586	9692225.231
587	9688511.84
588	9668427.08
589	9664299.072
590	9648867.401
591	9647631.291
592	9644766.476
593	9639381.627
594	9633661.028
595	9633139.633
596	9630906.563
597	9630120.719
598	9629633.42
599	9621368.695
600	9619435.645
601	9618999.469
602	9615753.567
603	9614495.54
604	9614414.258
605	9613776.58
606	9613365.173
607	9612789.817
608	9612419.045
609	9611473.512
610	9608379.696
611	9608075.066
612	9599134.037
613	9596285.933
614	9582959.895
615	9577764.596
616	9577331.383
617	9565064.096
618	9564859.282
619	9564555.289
620	9563570.705
621	9560988.426
622	9559385.254
623	9557600.507
624	9554883.999
625	9552428.325
626	9551426.561
627	9548661.397
628	9548299.923
629	9545174.361
630	9544338.097
631	9543910.802
632	9543369.935
633	9539910.351
634	9534571.751
635	9533888.027
636	9533243.326
637	9532364.195
638	9532000.432
639	9521669.267
640	9521452.125
641	9521309.015
642	9517991.425
643	9517665.363
644	9517363.045
645	9515882.193
646	9511318.023
647	9508155.419
648	9504856.615
649	9504350.731
650	9503086.977
651	9502778.946
652	9499100.411
653	9496814.725
654	9491137.634
655	9490758.001
656	9488682.101
657	9488089.923
658	9487988.149
659	9473672.999
660	9472413.758
661	9458015.288
662	9454343.739
663	9446879.441
664	9444042.062
665	9440740.093
666	9439491.072
667	9436256.571
668	9435925.516
669	9435544.311
670	9433442.644
671	9433139.268
672	9432021.879
673	9429509.151
674	9427811.786
675	9427201.726
676	9426931.344
677	9423581.886
678	9421687.664
679	9413978.673
680	9412871.008
681	9411019.998
682	9410149.888
683	9400709.492
684	9398713.23
685	9397573.572
686	9397073.424
687	9396071.573
688	9395116.532
689	9385767.158
690	9380281.183
691	9378821.72
692	9378266.02
693	9377201.41
694	9377025.328
695	9373125.871
696	9372755.652
697	9370616.411
698	9354697.455
699	9353754.492
700	9353044.532
701	9352751.235
702	9348778.634
703	9346835.752
704	9346529.397
705	9344586.572
706	9344412.13
707	9344266.277
708	9343823.89
709	9343128.657
710	9342815.177
711	9342359.435
712	9341947.879
713	9341361.04
714	9341003.162
715	9340334.119
716	9335140.209
717	9334867.482
718	9334184.115
719	9331710.426
720	9331361.762
721	9331226.057
722	9321405.489
723	9320134.025
724	9319294.303
725	9318943.348
726	9318425.166
727	9317704.973
728	9315639.434
729	9315356.779
730	9315107.747
731	9314801.237
732	9314392.808
733	9311731.543
734	9310126.624
735	9309661.514
736	9309549.875
737	9295491.848
738	9293861.265
739	9293728.844
740	9293323.08
741	9290904.965
742	9289904.728
743	9289531.51
744	9285177.559
745	9284995.376
746	9283553.097
747	9283210.429
748	9274109.076
749	9273184.468
750	9272790.651
751	9272479.513
752	9271452.573
753	9269704.393
754	9265873.79
755	9261602.629
756	9260650.36
757	9251205.879
758	9250480.239
759	9250187.387
760	9249593.482
761	9235208.391
762	9234646.315
763	9231711.849
764	9228795.029
765	9228325.33
766	9227733.654
767	9222958.515
768	9219698.221
769	9215724.289
770	9215446.839
771	9212147.465
772	9208129.307
773	9204767.965
774	9203208.956
775	9195995.997
776	9195858.462
777	9194010.116
778	9186642.819
779	9186275.896
780	9185771.336
781	9185552.295
782	9185142.037
783	9184340.614
784	9175866.05
785	9175711.626
786	9173270.625
787	9171973.922
788	9171381.274
789	9168893.249
790	9165047.241
791	9164926.805
792	9162996.872
793	9160884.234
794	9160542.371
795	9157206.701
796	9156944.621
797	9155886.697
798	9152495.302
799	9151389.325
800	9146170.928
801	9145666.44
802	9145134.091
803	9144458.832
804	9144004.744
805	9139827.222
806	9131768.363
